Table 13,,,,,,,,,,,,,
CALIFORNIA,, ,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by Agency, 2013",,,,,,,,,,,,,
Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2
,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,Irvine,0,1,0,0,0,0,0,0,1,0,0,"235,830"
,Jurupa Valley,0,1,0,0,0,0,0,0,0,1,0,"98,090"
,Laguna Beach,0,0,1,0,0,0,0,0,1,0,0,"23,313"
,La Habra,0,1,0,0,0,0,0,0,0,1,0,"61,740"
,Lake Elsinore,0,2,0,0,0,0,0,0,0,2,0,"56,232"
,Lake Forest,2,0,0,0,0,0,0,1,0,0,1,"79,336"
,Lakewood,2,0,0,0,0,0,0,0,1,0,1,"81,086"
,La Mirada,1,2,0,0,0,0,0,1,2,0,0,"49,150"
,Lancaster,3,1,0,1,0,0,0,1,2,1,1,"159,792"
,La Quinta,1,1,0,0,0,0,0,1,0,1,0,"39,150"
,Lemon Grove,1,0,1,0,0,0,0,1,1,0,0,"26,156"
,Lemoore,1,0,0,0,0,0,0,1,0,0,0,"24,802"
,Livermore,0,0,0,1,0,0,0,0,0,1,0,"84,350"
,Lodi,0,0,0,2,0,0,0,0,1,1,0,"63,639"
,Lomita,0,0,0,1,0,0,0,0,1,0,0,"20,622"
,Long Beach,3,1,1,0,0,0,0,3,0,1,1,"469,665"
,Los Alamitos,1,0,0,0,0,0,0,1,0,0,0,"11,735"
,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725"
,Los Gatos,2,0,0,0,0,0,0,0,0,1,1,"30,351"
,Lynwood,1,0,0,0,0,0,0,0,0,0,1,"71,077"
,Malibu,1,0,0,0,0,0,0,0,0,1,0,"12,891"
,Manhattan Beach,1,0,0,0,0,0,0,0,0,0,1,"35,930"
